Day,Date,TopicID,AlgorithmsDone,InterviewDone,FrontendDone,PracticeDone,Mapped3Parts,Confidence(1-5),Energy(1-5),TodayWin,WeakPoint,TomorrowFocus,MotivationLine,TotalDone(0-5)
Day 01,,T01,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 02,,T02,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 03,,T03,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 04,,T03,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 05,,T04,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 06,,T05,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 07,,T05,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 08,,T06,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 09,,T06,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 10,,T07,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 11,,T08,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 12,,T09,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 13,,T10,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 14,,T11,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 15,,T12,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 16,,T13,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 17,,T14,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 18,,T14,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 19,,T15,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Day 20,,T15,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
